"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2021",25.96,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2020",26.943,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2020",27.414,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2020",26.47,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2019",25.824,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2019",26.196,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2019",25.454,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2018",26.614,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2018",25.531,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2018",27.772,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2017",26.227,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2017",25.084,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2017",27.608,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2016",27.391,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2016",27.192,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Female","2016",27.622,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Total","2015",29.816,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.6.1 - Proportion of youth (aged 15-24 years) not in education, employment or training","Sex: Male","2015",28.485,,,"Repository: ILO-STATISTICS - Micro data processing"
